emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,delinquency_category,loan_size,dti_category,credit_utilization_percent,credit_utilization_category,loan_quality,is_bad_loan,income_group,credit_history_years,term_category
faculty,6,OR,rent,60000.0,not verified,12.46,0.0,not_applicable,0.0,0,1995,0,20,5,154033,146044,0,2,0,0,2,2,21.0,5,0,0,3,11100,5,3,3,0,35.0,2,0,credit_card,individual,20000,60,12.62,451.19,C,C1,2018-02-01,current,whole,Cash,19021.27,1790.74,978.73,812.01,0.0,Never Late,Large Loan,Low Risk,94.81344906610921,High,Good Loan,0,Middle Income,31,Long Term
hr_coordinator,10,LA,rent,70000.0,source verified,5.81,0.0,not_applicable,0.0,0,2005,1,16,10,58069,15746,0,0,0,278,1,5,10.0,10,0,0,5,46500,10,9,5,0,100.0,0,0,debt_consolidation,individual,10000,60,10.42,214.55,B,B3,2018-01-01,current,whole,Cash,9350.23,1058.28,649.77,408.51,0.0,Never Late,Medium Loan,Low Risk,27.116017152008816,Low,Good Loan,0,Middle Income,21,Long Term
stylist,3,NC,rent,26000.0,source verified,37.07,0.0,not_applicable,0.0,0,1996,1,19,12,51961,30281,0,0,0,0,3,3,7.0,12,0,0,8,20200,10,9,8,0,100.0,0,0,debt_consolidation,individual,6000,36,9.44,192.03,B,B1,2018-03-01,current,whole,Cash,5562.08,572.94,437.92,135.02,0.0,Never Late,Medium Loan,High Risk,58.276399607397856,Medium,Good Loan,0,Low Income,30,Short Term
legal_assistant_paralegal,2,TN,rent,54000.0,not verified,24.76,0.0,not_applicable,0.0,0,2001,5,25,12,89755,39279,0,0,0,0,3,4,2.0,12,0,0,1,34200,13,8,3,0,100.0,0,0,other,individual,18000,60,10.9,390.47,B,B4,2018-03-01,current,whole,Cash,17312.89,1176.86,687.11,489.75,0.0,Never Late,Large Loan,Moderate Risk,43.762464486658125,Medium,Good Loan,0,Middle Income,25,Long Term
assistant_service_department_manager,10,CA,rent,81000.0,not verified,22.61,0.0,not_applicable,0.0,0,2001,1,18,15,127098,39781,0,0,0,0,5,4,7.0,15,0,0,7,46100,12,10,8,0,100.0,0,0,credit_card,individual,10000,60,6.72,196.7,A,A3,2018-01-01,current,whole,DirectPay,9288.58,979.77,711.42,268.35,0.0,Never Late,Medium Loan,Moderate Risk,31.299469700546034,Medium,Good Loan,0,Middle Income,25,Long Term
mixer_operator,5,IL,mortgage,50000.0,verified,21.87,0.0,not_applicable,0.0,0,2013,4,13,8,153531,42055,0,0,0,0,3,5,10.0,8,0,0,1,6300,5,4,1,1,100.0,0,0,debt_consolidation,individual,24000,60,26.77,729.56,E,E5,2018-03-01,current,whole,Cash,23607.35,1423.43,392.65,1030.78,0.0,Never Late,Large Loan,Moderate Risk,27.391862229777697,Low,Good Loan,0,Middle Income,13,Long Term
branch_sales_officer,0,MI,mortgage,75000.0,source verified,34.3,0.0,not_applicable,0.0,0,1999,1,28,23,93851,56644,0,0,0,0,11,8,3.0,23,0,0,5,19400,12,12,9,2,71.4,0,0,debt_consolidation,individual,9000,36,12.61,301.56,C,C1,2018-02-01,current,whole,Cash,8158.92,1199.94,841.08,358.86,0.0,Never Late,Medium Loan,Moderate Risk,60.35524395051731,Medium,Good Loan,0,Middle Income,27,Short Term
legal_assistant,2,GA,rent,56500.0,source verified,15.34,0.0,not_applicable,0.0,0,2006,0,17,4,60739,70911,0,0,0,0,1,2,16.0,4,0,0,2,12000,3,2,2,0,100.0,0,0,credit_card,individual,11000,36,7.35,341.42,A,A4,2018-02-01,current,whole,DirectPay,9893.71,1361.19,1106.29,254.9,0.0,Never Late,Medium Loan,Low Risk,116.7470653122376,High,Good Loan,0,Middle Income,20,Short Term
medical_assistant,4,NV,rent,37000.0,not verified,34.11,0.0,not_applicable,0.0,0,2002,0,18,11,81748,27882,0,0,0,0,4,3,14.0,11,0,0,3,22900,13,7,5,0,100.0,0,0,debt_consolidation,individual,5000,36,6.07,152.27,A,A2,2018-02-01,current,whole,Cash,4488.22,605.71,511.78,93.93,0.0,Never Late,Medium Loan,Moderate Risk,34.107256446640896,Medium,Good Loan,0,Low Income,24,Short Term
account_manager,10,NH,mortgage,50000.0,source verified,27.27,110000.0,Not Verified,23.93,0,2004,0,33,12,126596,36637,0,0,0,0,2,3,18.0,12,0,0,6,84100,26,10,9,0,100.0,0,0,debt_consolidation,joint,15000,36,6.72,461.24,A,A3,2018-01-01,current,whole,Cash,13478.32,1839.36,1521.68,317.68,0.0,Never Late,Large Loan,Moderate Risk,28.9400928939303,Low,Good Loan,0,Middle Income,22,Short Term
flight_attendant,3,TX,rent,45000.0,verified,13.04,0.0,not_applicable,0.0,0,2007,3,16,10,30300,14990,0,1,0,0,0,3,4.0,10,0,0,2,14200,15,10,5,0,100.0,0,1,debt_consolidation,individual,18000,60,21.45,491.53,D,D5,2018-01-01,current,whole,Cash,17120.2,2532.73,879.8,1652.93,0.0,Never Late,Large Loan,Low Risk,49.471947194719476,Medium,Good Loan,0,Low Income,19,Long Term
lab_technician,9,NC,mortgage,43000.0,source verified,28.38,83000.0,Source Verified,20.02,1,1996,0,25,8,70121,33586,0,0,0,0,1,3,6.0,8,0,0,3,49100,15,7,3,4,88.0,0,0,debt_consolidation,joint,30000,60,12.61,676.62,C,C1,2018-03-01,current,whole,Cash,28904.46,1987.83,1095.54,892.29,0.0,Late (13-36 Months),Very Large Loan,Moderate Risk,47.897206257754455,Medium,Good Loan,0,Low Income,30,Long Term
purchasing_agent,3,MD,rent,70000.0,source verified,12.24,0.0,not_applicable,0.0,0,2005,0,36,22,272878,373361,0,0,0,0,20,2,17.0,22,0,0,2,20000,7,2,2,0,100.0,0,0,other,individual,7500,36,7.34,232.75,A,A4,2018-03-01,current,fractional,Cash,6935.94,695.19,564.06,131.13,0.0,Never Late,Medium Loan,Low Risk,136.823415592316,High,Good Loan,0,Middle Income,21,Short Term
sales,1,TN,rent,90000.0,not verified,11.63,0.0,not_applicable,0.0,0,2003,10,28,20,76354,24969,0,0,0,378,2,17,4.0,20,0,0,3,25100,20,18,4,0,100.0,0,0,credit_card,individual,7000,36,15.05,242.83,C,C4,2018-02-01,current,fractional,Cash,6368.07,997.66,631.93,365.73,0.0,Never Late,Medium Loan,Low Risk,32.70162663383713,Medium,Good Loan,0,Middle Income,23,Short Term
repair_technician,10,WA,rent,60500.0,not verified,7.34,0.0,not_applicable,0.0,0,2001,0,24,10,69120,44476,0,0,0,0,2,3,6.0,10,0,0,6,37500,15,8,7,0,100.0,0,0,medical,individual,15000,36,7.35,465.57,A,A4,2018-01-01,current,whole,Cash,13108.5,2312.54,1891.5,421.04,0.0,Never Late,Large Loan,Low Risk,64.34606481481482,Medium,Good Loan,0,Middle Income,25,Short Term
officer,10,VA,mortgage,142000.0,source verified,20.25,0.0,not_applicable,0.0,0,1992,0,67,27,976357,402798,0,0,0,0,20,3,17.0,27,0,0,5,43300,16,6,6,6,100.0,0,0,debt_consolidation,individual,40000,36,6.08,1218.33,A,A2,2018-02-01,current,whole,Cash,35906.37,4846.3,4093.63,752.67,0.0,Never Late,Very Large Loan,Moderate Risk,41.255196613533776,Medium,Good Loan,0,High Income,34,Short Term
sergeant_first_class,10,AL,mortgage,60000.0,verified,33.53,0.0,not_applicable,0.0,0,2006,7,23,7,282033,106680,0,0,0,0,2,7,3.0,7,0,0,1,5600,6,4,4,3,100.0,0,0,credit_card,individual,7500,36,21.45,284.3,D,D5,2018-01-01,fully paid,whole,Cash,0.0,7959.1964822145,7500.0,459.2,0.0,Never Late,Medium Loan,Moderate Risk,37.825360862026784,Medium,Good Loan,0,Middle Income,20,Short Term
manicurist,3,TX,mortgage,65000.0,not verified,13.59,0.0,not_applicable,0.0,0,2006,1,17,9,88252,37299,0,0,0,0,1,4,8.0,9,0,0,4,52800,14,8,4,0,100.0,0,0,credit_card,individual,20000,36,6.71,614.9,A,A3,2018-03-01,current,whole,Cash,18484.51,1860.54,1515.49,314.3,30.75,Never Late,Large Loan,Low Risk,42.264197978516066,Medium,Good Loan,0,Middle Income,20,Short Term
registered_nurse,10,MA,mortgage,108000.0,not verified,18.4,140000.0,Not Verified,15.42,0,1996,1,19,13,337041,38289,0,0,0,0,4,7,4.0,13,0,0,5,31100,11,8,7,1,94.4,0,0,debt_consolidation,joint,25800,60,9.93,547.29,B,B2,2018-02-01,current,whole,Cash,24448.15,2217.08,1351.85,865.23,0.0,Late (13-36 Months),Large Loan,Low Risk,11.360338949860699,Low,Good Loan,0,High Income,30,Long Term
teacher,6,GA,mortgage,40000.0,source verified,16.26,70000.0,Not Verified,9.72,0,2003,0,18,7,159510,31367,0,0,0,0,4,2,6.0,7,0,0,1,7000,7,1,1,3,100.0,0,0,car,joint,12000,60,10.9,260.32,B,B4,2018-03-01,current,fractional,Cash,11695.99,506.11,304.01,202.1,0.0,Never Late,Medium Loan,Low Risk,19.664597830857,Low,Good Loan,0,Low Income,23,Long Term
aircraft_mechanic,3,NV,mortgage,95000.0,not verified,12.44,0.0,not_applicable,0.0,0,2011,3,9,7,328319,31973,0,0,0,0,2,5,1.0,7,0,0,1,10800,4,4,2,2,100.0,0,0,credit_card,individual,7000,36,6.07,213.18,A,A2,2018-02-01,current,whole,Cash,6464.25,637.18,535.75,101.43,0.0,Never Late,Medium Loan,Low Risk,9.738394671036401,Low,Good Loan,0,Middle Income,15,Short Term
program_officer,0,NC,rent,73000.0,not verified,10.83,0.0,not_applicable,0.0,3,2003,2,26,8,56410,45378,2,0,0,170,2,4,8.0,8,0,0,2,11750,12,6,4,0,81.0,0,0,credit_card,individual,8000,36,6.07,243.63,A,A2,2018-02-01,current,whole,Cash,7123.34,1028.82,876.66,152.16,0.0,Late (13-36 Months),Medium Loan,Low Risk,80.44318383265379,High,Good Loan,0,Middle Income,23,Short Term
driller,10,FL,mortgage,165000.0,not verified,7.16,0.0,not_applicable,0.0,1,2007,0,30,12,186100,41440,0,0,0,0,1,6,13.0,12,0,0,4,68400,19,10,5,1,96.7,0,0,debt_consolidation,individual,25200,60,7.34,503.05,A,A4,2018-03-01,current,whole,Cash,24146.85,1498.87,1053.15,445.72,0.0,Never Late,Large Loan,Low Risk,22.26759806555615,Low,Good Loan,0,High Income,19,Long Term
jeweler,2,LA,own,46000.0,source verified,8.64,0.0,not_applicable,0.0,0,2014,0,11,9,17600,10400,0,0,0,0,0,5,16.0,9,0,0,6,16100,10,9,7,0,100.0,0,0,credit_card,individual,12000,60,12.62,270.71,C,C1,2018-02-01,current,whole,Cash,11412.78,1074.43,587.22,487.21,0.0,Never Late,Medium Loan,Low Risk,59.09090909090909,Medium,Good Loan,0,Low Income,12,Long Term
lead_operator,2,CA,mortgage,60000.0,not verified,11.5,0.0,not_applicable,0.0,0,2006,1,19,12,261386,20374,0,0,0,0,3,3,12.0,12,0,0,3,37000,12,8,4,1,100.0,0,0,credit_card,individual,13000,36,6.71,399.69,A,A3,2018-03-01,current,whole,Cash,12013.51,1194.22,986.49,207.73,0.0,Never Late,Medium Loan,Low Risk,7.794602618349873,Low,Good Loan,0,Middle Income,20,Short Term
order_manager,5,SC,own,42000.0,verified,10.2,0.0,not_applicable,0.0,0,2003,0,5,4,16600,8213,0,0,0,0,1,1,6.0,4,0,0,2,8000,3,3,3,0,100.0,0,0,house,individual,20000,60,15.04,476.22,C,C4,2018-02-01,current,whole,Cash,19314.82,1411.95,685.18,726.77,0.0,Never Late,Large Loan,Low Risk,49.475903614457835,Medium,Good Loan,0,Low Income,23,Long Term
tech,3,NJ,mortgage,38000.0,not verified,21.32,0.0,not_applicable,0.0,0,2007,1,11,6,46300,23741,0,0,0,0,2,4,11.0,6,0,0,1,7000,6,4,2,0,100.0,0,0,debt_consolidation,individual,6500,36,7.35,201.75,A,A4,2018-01-01,current,whole,Cash,5513.37,1189.95,986.63,203.32,0.0,Never Late,Medium Loan,Moderate Risk,51.27645788336933,Medium,Good Loan,0,Low Income,19,Short Term
registered_nurse,1,VA,rent,80000.0,not verified,27.05,0.0,not_applicable,0.0,0,2012,2,17,12,130575,41215,0,0,0,0,3,2,4.0,12,0,0,4,74900,11,9,5,0,100.0,0,0,debt_consolidation,individual,24000,60,11.99,533.75,B,B5,2018-01-01,current,whole,Cash,22500.58,2652.76,1499.42,1153.34,0.0,Never Late,Large Loan,Moderate Risk,31.564235113919203,Medium,Good Loan,0,Middle Income,14,Long Term
project_manager,10,KY,mortgage,65000.0,source verified,4.28,0.0,not_applicable,0.0,0,1996,1,41,14,164664,54820,0,1,0,0,2,7,6.0,12,0,0,1,17500,25,11,3,3,100.0,0,1,debt_consolidation,individual,4000,36,6.72,123.0,A,A3,2018-01-01,current,whole,Cash,3491.33,612.01,508.67,103.34,0.0,Never Late,Small Loan,Low Risk,33.29203711801001,Medium,Good Loan,0,Middle Income,30,Short Term
facility_administrator,4,CA,rent,120000.0,not verified,1.06,0.0,not_applicable,0.0,0,2005,7,17,11,44600,3096,0,0,0,0,0,3,1.0,11,0,0,5,38100,17,11,5,0,94.1,0,0,credit_card,individual,32000,36,6.72,983.98,A,A3,2018-01-01,current,whole,Cash,27930.78,4907.95,4069.22,838.73,0.0,Never Late,Very Large Loan,Low Risk,6.941704035874439,Low,Good Loan,0,High Income,21,Short Term
electrical_assembler,1,IN,own,45000.0,verified,13.71,0.0,not_applicable,0.0,0,2014,3,8,7,35854,10630,0,0,0,0,2,3,2.0,7,0,0,1,6100,3,3,2,1,100.0,0,0,house,individual,28000,36,20.0,1040.59,D,D4,2018-02-01,in grace period,whole,Cash,26249.37,3090.66,1750.63,1340.03,0.0,Never Late,Large Loan,Low Risk,29.64801695766163,Low,Good Loan,0,Low Income,12,Short Term
designer,10,GA,mortgage,56000.0,not verified,14.59,0.0,not_applicable,0.0,0,2000,0,25,14,197745,14530,0,0,0,0,2,2,6.0,14,0,0,1,60600,17,11,2,1,100.0,0,0,credit_card,individual,3025,36,6.08,92.14,A,A2,2018-01-01,current,whole,Cash,2637.02,458.66,387.98,70.68,0.0,Never Late,Small Loan,Low Risk,7.347846974639055,Low,Good Loan,0,Middle Income,26,Short Term
chaplain_bereavement,6,CA,mortgage,78000.0,source verified,4.86,0.0,not_applicable,0.0,1,1999,4,26,8,586203,17050,0,0,0,0,1,4,5.0,8,0,0,2,24200,16,6,3,3,96.0,0,0,debt_consolidation,individual,9000,36,7.96,281.87,A,A5,2018-03-01,current,whole,Cash,8329.06,841.63,670.94,170.69,0.0,Never Late,Medium Loan,Low Risk,2.908548745059305,Low,Good Loan,0,Middle Income,27,Short Term
compliance_specialist_ii,10,VA,own,69000.0,not verified,16.73,0.0,not_applicable,0.0,0,1987,0,13,5,57420,48167,0,0,0,0,1,2,6.0,5,0,0,2,27500,6,4,2,3,100.0,0,0,credit_card,individual,25000,36,6.07,761.35,A,A2,2018-03-01,current,whole,Cash,23727.01,1514.27,1272.99,241.28,0.0,Never Late,Large Loan,Low Risk,83.88540578195752,High,Good Loan,0,Middle Income,39,Short Term
research_faculty_associate,8,CA,rent,86000.0,not verified,12.14,0.0,not_applicable,0.0,0,1990,2,16,9,80200,25908,0,0,0,0,1,4,7.0,9,0,0,4,46800,15,8,5,0,100.0,0,0,credit_card,individual,16000,60,9.93,339.41,B,B2,2018-02-01,current,whole,Cash,15161.63,1348.81,838.37,510.44,0.0,Never Late,Large Loan,Low Risk,32.30423940149626,Medium,Good Loan,0,Middle Income,36,Long Term
supervisor,10,NJ,mortgage,69000.0,verified,16.49,0.0,not_applicable,0.0,0,2002,4,13,8,389982,43340,0,0,0,0,1,7,7.0,8,0,0,5,46600,10,6,6,1,100.0,0,0,credit_card,individual,25000,36,10.91,817.41,B,B4,2018-01-01,current,whole,DirectPay,22607.14,3254.49,2392.86,861.63,0.0,Never Late,Large Loan,Low Risk,11.11333343590217,Low,Good Loan,0,Middle Income,24,Short Term
executive_assistant_to_the_director,2,DC,rent,66000.0,verified,17.49,0.0,not_applicable,0.0,0,2004,3,10,7,52040,32376,0,0,0,0,2,3,5.0,7,0,0,4,30000,7,5,4,0,100.0,0,0,credit_card,individual,17000,60,16.02,413.59,C,C5,2018-01-01,current,whole,Cash,16041.55,2037.69,958.45,1079.24,0.0,Never Late,Large Loan,Low Risk,62.21368178324366,Medium,Good Loan,0,Middle Income,22,Long Term
production_manager,10,UT,rent,98560.0,verified,5.92,0.0,not_applicable,0.0,0,1997,4,24,12,22650,7144,0,1,0,0,0,5,1.0,10,0,0,6,12650,20,10,7,2,71.0,0,1,debt_consolidation,individual,18000,60,17.47,451.91,D,D1,2018-03-01,current,whole,Cash,16905.13,1838.26,1094.87,743.39,0.0,Late (13-36 Months),Large Loan,Low Risk,31.54083885209713,Medium,Good Loan,0,Middle Income,29,Long Term
team_lead,10,AR,rent,60000.0,source verified,27.62,0.0,not_applicable,0.0,0,2006,11,30,18,113072,57640,0,0,0,0,2,5,1.0,18,0,0,7,60800,25,16,9,0,100.0,0,0,debt_consolidation,individual,33600,60,15.04,800.05,C,C4,2018-03-01,current,whole,Cash,32448.9,2372.08,1151.1,1220.98,0.0,Never Late,Very Large Loan,Moderate Risk,50.97636903919627,Medium,Good Loan,0,Middle Income,20,Long Term
vice_president_sales,10,TX,mortgage,150000.0,verified,21.92,0.0,not_applicable,0.0,0,1994,2,29,10,536912,66643,0,0,0,0,3,2,1.0,10,0,0,1,56900,15,6,1,5,96.6,0,0,debt_consolidation,individual,24725,36,6.08,753.08,A,A2,2018-01-01,current,whole,Cash,21554.0,3807.16,3171.0,636.16,0.0,Late (60+ Months),Large Loan,Moderate Risk,12.412276127186578,Low,Good Loan,0,High Income,32,Short Term
owner,4,NE,mortgage,65000.0,not verified,24.48,0.0,not_applicable,0.0,1,2006,0,16,5,122690,68873,0,0,0,0,2,4,16.0,5,0,0,2,4400,3,2,2,1,87.5,0,0,debt_consolidation,individual,9000,36,21.85,343.02,D,D5,2018-02-01,current,whole,Cash,8263.61,1361.16,736.39,624.77,0.0,Never Late,Medium Loan,Moderate Risk,56.13578938788817,Medium,Good Loan,0,Middle Income,20,Short Term
nurse,10,FL,mortgage,59200.0,source verified,8.72,0.0,not_applicable,0.0,1,2007,1,14,7,142947,7100,0,0,0,0,1,1,0.0,7,0,0,4,16400,10,5,4,2,85.7,0,0,home_improvement,individual,20000,60,16.01,486.47,C,C5,2018-03-01,current,whole,Cash,19332.26,1423.83,667.74,756.09,0.0,Never Late,Large Loan,Low Risk,4.966875835099723,Low,Good Loan,0,Middle Income,19,Long Term
forlkift_opperator,10,NJ,rent,56800.0,not verified,17.87,0.0,not_applicable,0.0,1,2001,0,7,5,31300,17408,0,0,0,0,1,0,6.0,5,0,0,3,16300,4,3,3,0,85.7,0,0,home_improvement,individual,5000,36,10.91,163.49,B,B4,2018-01-01,current,fractional,Cash,4399.01,814.42,600.99,213.43,0.0,Never Late,Medium Loan,Low Risk,55.61661341853035,Medium,Good Loan,0,Middle Income,25,Short Term
manager,2,RI,mortgage,80000.0,source verified,23.27,0.0,not_applicable,0.0,0,2002,3,20,15,236293,50928,0,0,0,0,2,12,2.0,15,0,0,1,12200,13,10,5,4,100.0,0,0,house,individual,12000,60,15.05,285.8,C,C4,2018-02-01,current,whole,Cash,11448.53,1183.34,551.47,631.87,0.0,Never Late,Medium Loan,Moderate Risk,21.552902540489985,Low,Good Loan,0,Middle Income,24,Long Term
edi_specialist,0,NJ,own,53000.0,verified,12.05,0.0,not_applicable,0.0,0,2006,6,9,6,228282,13082,0,0,0,0,1,5,8.0,6,0,0,1,3500,6,4,3,1,77.8,0,0,home_improvement,individual,15000,36,10.41,486.91,B,B3,2018-03-01,current,whole,Cash,13920.33,1452.05,1079.67,372.38,0.0,Never Late,Large Loan,Low Risk,5.7306314120254775,Low,Good Loan,0,Middle Income,20,Short Term
solo_practitioner,10,MD,rent,80000.0,not verified,22.38,0.0,not_applicable,0.0,0,2002,5,56,27,252703,206117,0,1,0,0,7,9,4.0,27,0,0,6,54100,34,20,11,1,100.0,0,1,credit_card,individual,8000,36,7.97,250.59,A,A5,2018-01-01,current,whole,Cash,6695.87,1549.41,1304.13,245.28,0.0,Never Late,Medium Loan,Moderate Risk,81.56492008405124,High,Good Loan,0,Middle Income,24,Short Term
senior_accountant,3,TX,mortgage,80000.0,source verified,20.93,0.0,not_applicable,0.0,0,2007,8,62,35,149477,115598,0,0,0,0,6,19,0.0,35,0,0,7,36700,39,29,8,0,94.7,0,0,major_purchase,individual,3000,36,18.06,108.55,D,D2,2018-02-01,current,whole,Cash,2740.62,431.19,259.38,171.81,0.0,Late (37-60 Months),Small Loan,Moderate Risk,77.33497461147869,High,Good Loan,0,Middle Income,19,Short Term
command_master_chief,10,VA,mortgage,105000.0,source verified,17.3,0.0,not_applicable,0.0,1,2000,1,35,13,311303,66893,0,0,0,0,5,5,8.0,13,0,0,3,6800,17,7,5,3,100.0,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,2018-03-01,in grace period,whole,Cash,9518.75,639.09,481.25,157.84,0.0,Never Late,Medium Loan,Low Risk,21.488067895266028,Low,Good Loan,0,High Income,26,Short Term
investment_planning_analyst,3,OH,rent,40000.0,not verified,13.14,0.0,not_applicable,0.0,0,2010,1,19,10,83086,68717,0,0,0,0,2,6,8.0,10,0,0,3,21000,12,8,3,0,100.0,0,0,debt_consolidation,individual,3600,36,9.44,115.22,B,B1,2018-02-01,current,whole,Cash,3248.27,459.94,351.73,108.21,0.0,Never Late,Small Loan,Low Risk,82.70587102520281,High,Good Loan,0,Low Income,16,Short Term
community_bank_president,3,CO,mortgage,142500.0,source verified,10.26,0.0,not_applicable,0.0,0,2002,0,39,12,416708,80187,0,1,0,0,2,5,6.0,12,0,0,4,32100,19,9,6,1,97.2,0,1,debt_consolidation,individual,40000,60,9.93,848.51,B,B2,2018-02-01,current,whole,Cash,37904.12,3371.97,2095.88,1276.09,0.0,Late (37-60 Months),Very Large Loan,Low Risk,19.24297109726715,Low,Good Loan,0,High Income,24,Long Term
manager,9,GA,mortgage,103500.0,source verified,30.01,0.0,not_applicable,0.0,0,1995,0,19,12,223800,63075,0,1,0,0,4,5,13.0,12,0,0,3,15900,10,7,4,2,100.0,0,1,debt_consolidation,individual,25000,36,10.41,811.51,B,B3,2018-03-01,current,fractional,Cash,23200.57,2420.07,1799.43,620.64,0.0,Never Late,Large Loan,Moderate Risk,28.183646112600535,Low,Good Loan,0,High Income,31,Short Term
owner,4,CA,rent,60000.0,not verified,13.3,0.0,not_applicable,0.0,0,2002,0,21,10,51600,17498,0,1,0,0,3,3,6.0,10,0,0,2,23000,12,7,2,0,95.2,0,1,credit_card,individual,12000,36,6.71,368.94,A,A3,2018-03-01,current,fractional,Cash,11089.41,1102.35,910.59,191.76,0.0,Never Late,Medium Loan,Low Risk,33.91085271317829,Medium,Good Loan,0,Middle Income,24,Short Term
hot_end_fiberizer,10,GA,rent,90000.0,not verified,8.95,0.0,not_applicable,0.0,0,2006,0,23,6,38365,23410,0,0,0,597,1,7,17.0,6,0,0,5,14400,8,5,5,0,91.3,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,2018-01-01,current,fractional,Cash,8519.29,1845.01,1480.71,364.3,0.0,Late (60+ Months),Medium Loan,Low Risk,61.019158086797866,Medium,Good Loan,0,Middle Income,20,Short Term
messenger,8,FL,rent,71000.0,not verified,30.16,0.0,not_applicable,0.0,0,2005,0,28,11,94696,57182,0,0,0,0,3,1,20.0,11,0,0,6,19300,14,8,7,0,96.4,0,0,debt_consolidation,individual,10000,36,9.93,322.35,B,B2,2018-02-01,current,whole,Cash,9029.63,1314.23,970.37,343.86,0.0,Never Late,Medium Loan,Moderate Risk,60.38481034045788,Medium,Good Loan,0,Middle Income,21,Short Term
not_provided,0,MI,mortgage,70000.0,not verified,3.91,0.0,not_applicable,0.0,0,1997,0,21,8,194300,15487,0,0,0,0,0,1,18.0,8,0,0,5,80300,16,7,5,2,100.0,0,0,major_purchase,individual,16000,36,5.31,481.77,A,A1,2018-03-01,current,whole,Cash,14761.63,1475.99,1238.37,237.62,0.0,Never Late,Large Loan,Low Risk,7.970663921770458,Low,Good Loan,0,Middle Income,29,Short Term
jrotc_instructor,1,CA,mortgage,135500.0,verified,24.01,0.0,not_applicable,0.0,0,1999,5,38,17,778755,127955,0,0,0,0,4,8,7.0,17,0,0,5,34700,18,11,5,3,100.0,0,0,debt_consolidation,individual,25000,36,10.9,817.29,B,B4,2018-03-01,current,fractional,Cash,23814.22,1717.85,1185.78,532.07,0.0,Never Late,Large Loan,Moderate Risk,16.430713125437396,Low,Good Loan,0,High Income,27,Short Term
relationship_manager,2,AZ,rent,44346.0,verified,20.27,0.0,not_applicable,0.0,1,2006,1,10,8,31242,21805,0,0,0,0,3,3,10.0,8,0,0,3,6500,6,4,3,0,90.0,0,0,debt_consolidation,individual,4800,36,23.87,188.0,E,E2,2018-03-01,current,fractional,Cash,4516.88,551.27,283.12,268.15,0.0,Late (13-36 Months),Small Loan,Moderate Risk,69.79386723001089,Medium,Good Loan,0,Low Income,20,Short Term
staff_rn_2,10,CA,mortgage,120000.0,not verified,17.81,0.0,not_applicable,0.0,0,1998,3,29,20,474829,38032,0,0,0,0,2,2,6.0,20,0,0,6,58500,24,17,9,1,100.0,0,0,home_improvement,individual,20000,36,5.32,602.3,A,A1,2018-02-01,current,fractional,Cash,18452.87,1795.08,1547.13,247.95,0.0,Never Late,Large Loan,Low Risk,8.009620305415213,Low,Good Loan,0,High Income,28,Short Term
systems_technician,3,CA,rent,50000.0,verified,29.44,0.0,not_applicable,0.0,0,1997,2,15,8,43150,23112,0,1,0,0,2,7,3.0,8,0,0,3,16500,9,6,5,0,100.0,0,1,debt_consolidation,individual,15000,36,18.06,542.74,D,D2,2018-01-01,current,whole,Cash,13366.62,2593.04,1633.38,959.66,0.0,Never Late,Large Loan,Moderate Risk,53.56199304750869,Medium,Good Loan,0,Middle Income,29,Short Term
account_manager,5,TX,mortgage,46000.0,verified,28.8,0.0,not_applicable,0.0,0,2005,0,16,11,223276,30839,0,0,0,0,2,4,19.0,11,0,0,3,10700,11,8,4,2,100.0,0,0,debt_consolidation,individual,9300,36,22.9,359.52,E,E1,2018-02-01,current,fractional,Cash,8743.38,1066.73,556.62,510.11,0.0,Never Late,Medium Loan,Moderate Risk,13.812053243519232,Low,Good Loan,0,Low Income,21,Short Term
gm_manager,10,MI,mortgage,140000.0,verified,10.47,0.0,not_applicable,0.0,1,2002,2,23,15,534435,26373,0,0,0,0,2,9,1.0,15,0,0,4,9750,12,9,7,5,87.0,0,0,debt_consolidation,individual,21000,36,9.93,676.93,B,B2,2018-01-01,late (16-30 days),fractional,Cash,18963.53,2684.55,2036.47,648.08,0.0,Late (60+ Months),Large Loan,Low Risk,4.934744169075753,Low,Good Loan,0,High Income,24,Short Term
